BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
CLEANER,F,1559,100088.0,4.0,BUKIT MERAH,2139
SERVICE,M,1271,680566.0,23.0,CHOA CHU KANG,4644
OTHER,F,1269,238145.0,9.0,RIVER VALLEY,6694
SERVICE,M,1217,610154.0,22.0,JURONG WEST,8047
SERVICE,M,1242,151002.0,3.0,BUKIT MERAH,4085
SERVICE,M,1515,310097.0,12.0,TOA PAYOH,6674
SERVICE,F,1091,239896.0,9.0,RIVER VALLEY,7091
SERVICE,F,1229,239758.0,9.0,RIVER VALLEY,5324
SECURITY,F,1717,239432.0,9.0,SINGAPORE RIVER,6928
PLANT AND MACHINE,F,1582,530528.0,19.0,HOUGANG,2229
SERVICE,F,1106,658313.0,23.0,BUKIT BATOK,6086
CRAFTS,F,907,560259.0,20.0,ANG MO KIO,4746
CLERICAL,F,2013,165004.0,3.0,BUKIT MERAH,4450
SERVICE,F,1349,120422.0,5.0,CLEMENTI,2234
SERVICE,M,1210,322101.0,12.0,KALLANG,7256
PLANT AND MACHINE,M,1376,436881.0,15.0,KALLANG,5422
CLERICAL,F,1913,239896.0,9.0,RIVER VALLEY,6204
CLERICAL,M,2453,238257.0,9.0,SINGAPORE RIVER,4852
PLANT AND MACHINE,M,1364,470108.0,16.0,BEDOK,7509
CLERICAL,F,1518,596746.0,21.0,BUKIT TIMAH,4305
SERVICE,F,1055,120420.0,5.0,CLEMENTI,6127
OTHER,M,1057,528842.0,18.0,TAMPINES,4820
PLANT AND MACHINE,M,1177,791412.0,28.0,SENGKANG,3405
CLERICAL,F,1609,457265.0,15.0,BEDOK,6763
TECHNICIAN,M,1599,238107.0,9.0,RIVER VALLEY,5001
SERVICE,M,1193,275018.0,10.0,QUEENSTOWN,6284
SERVICE,M,1161,276954.0,10.0,BUKIT TIMAH,6557
CLEANER,M,1411,424615.0,15.0,GEYLANG,5240
SECURITY,F,2075,259714.0,10.0,TANGLIN,4711
OTHER,F,1379,85401.0,2.0,OUTRAM,2176
CLERICAL,F,1971,437434.0,15.0,KALLANG,5222
PLANT AND MACHINE,M,1268,436958.0,15.0,GEYLANG,4952
CLEANER,F,1319,545042.0,19.0,SENGKANG,8039
SERVICE,M,1492,544897.0,19.0,HOUGANG,5074
OTHER,F,1476,576325.0,20.0,ANG MO KIO,5454
CLEANER,M,1241,439944.0,15.0,MARINE PARADE,8072
CLERICAL,M,1229,120602.0,5.0,CLEMENTI,7489
SERVICE,M,1176,469977.0,16.0,BEDOK,5135
SERVICE,M,1368,510107.0,18.0,PASIR RIS,5377
CRAFTS,M,1154,768102.0,27.0,YISHUN,4969
SERVICE,F,1098,400842.0,14.0,GEYLANG,4617
PLANT AND MACHINE,F,1019,509439.0,17.0,PASIR RIS,4714
TECHNICIAN,M,1108,456153.0,15.0,BEDOK,7634
SERVICE,M,1384,738211.0,25.0,WOODLANDS,723
CLERICAL,M,2135,120413.0,5.0,CLEMENTI,3299
PLANT AND MACHINE,F,1390,120413.0,5.0,CLEMENTI,1973
SECURITY,M,1895,436929.0,15.0,KALLANG,5039
SERVICE,F,1411,640213.0,22.0,JURONG WEST,7962
CRAFTS,F,1063,760838.0,27.0,YISHUN,4830
CLERICAL,M,1870,641273.0,22.0,JURONG WEST,4195
PLANT AND MACHINE,M,1395,269199.0,10.0,BUKIT TIMAH,6113
CLERICAL,M,1800,750324.0,27.0,SEMBAWANG,6747
SERVICE,F,1527,299450.0,11.0,NOVENA,7219
PLANT AND MACHINE,F,1290,738154.0,25.0,WOODLANDS,4307
CLEANER,F,1461,640185.0,22.0,JURONG WEST,3604
SERVICE,M,1129,309920.0,11.0,NOVENA,4106
CLEANER,M,1261,259786.0,10.0,TANGLIN,1839
SERVICE,M,850,239426.0,9.0,SINGAPORE RIVER,6428
SERVICE,F,939,670502.0,23.0,BUKIT PANJANG,4329
CLERICAL,F,1214,439944.0,15.0,MARINE PARADE,6497
SERVICE,M,1381,239228.0,9.0,RIVER VALLEY,7723
SERVICE,M,1175,449305.0,15.0,MARINE PARADE,7948
PLANT AND MACHINE,F,1662,650260.0,23.0,BUKIT BATOK,4537
SERVICE,F,1071,640262.0,22.0,JURONG WEST,6377
CLEANER,M,1395,247913.0,10.0,ORCHARD,5942
TECHNICIAN,F,1055,455232.0,15.0,BEDOK,6929
SERVICE,M,1346,506889.0,17.0,PASIR RIS,8065
OTHER,F,1436,596230.0,21.0,BUKIT BATOK,4980
CLEANER,M,1112,670626.0,23.0,BUKIT PANJANG,8019
CLEANER,F,1282,554378.0,19.0,SERANGOON,5442
CLERICAL,M,1344,520934.0,18.0,TAMPINES,7601
SERVICE,F,1147,98411.0,4.0,BUKIT MERAH,7162
CLEANER,M,1462,98414.0,4.0,BUKIT MERAH,4681
SERVICE,F,1315,307746.0,11.0,NOVENA,4618
SECURITY,M,2048,307746.0,11.0,NOVENA,4941
SERVICE,M,1446,130022.0,5.0,QUEENSTOWN,6792
CLERICAL,F,2198,400032.0,14.0,GEYLANG,4620
PLANT AND MACHINE,F,1570,670276.0,23.0,BUKIT PANJANG,5703
CLEANER,M,1537,248360.0,10.0,TANGLIN,5490
CLEANER,M,1418,248360.0,10.0,TANGLIN,769
SERVICE,F,1146,540141.0,19.0,SENGKANG,6322
CLERICAL,M,1424,319583.0,12.0,TOA PAYOH,6025
CLERICAL,F,2128,639670.0,22.0,WESTERN WATER CATCHMENT,5525
SERVICE,F,1360,550538.0,19.0,SERANGOON,4208
SECURITY,M,1573,469990.0,16.0,BEDOK,7810
TECHNICIAN,F,1795,238145.0,9.0,RIVER VALLEY,6895
TECHNICIAN,M,1571,644276.0,22.0,JURONG WEST,1929
SERVICE,F,1095,458556.0,15.0,BEDOK,7433
TECHNICIAN,F,1221,598869.0,21.0,BUKIT TIMAH,4160
CLERICAL,M,2251,680115.0,23.0,CHOA CHU KANG,7963
SERVICE,F,1180,141060.0,3.0,QUEENSTOWN,7430
OTHER,F,1037,556745.0,19.0,SERANGOON,6909
CRAFTS,M,1282,788650.0,26.0,ANG MO KIO,1278
TECHNICIAN,F,1564,228459.0,9.0,ROCHOR,5538
OTHER,M,1405,258201.0,10.0,TANGLIN,6496
SERVICE,F,1195,258199.0,10.0,TANGLIN,7113
CLERICAL,M,1968,543266.0,19.0,SENGKANG,7888
SERVICE,F,1223,787059.0,26.0,ANG MO KIO,5268
CRAFTS,F,1189,308346.0,11.0,NOVENA,7879
PLANT AND MACHINE,M,1101,98434.0,4.0,SOUTHERN ISLANDS,4391
SERVICE,M,1129,436929.0,15.0,KALLANG,7101
SERVICE,M,1281,90026.0,4.0,BUKIT MERAH,2292
PLANT AND MACHINE,F,1795,109704.0,4.0,BUKIT MERAH,5733
SERVICE,F,1320,129458.0,5.0,CLEMENTI,5004
TECHNICIAN,F,2171,648359.0,22.0,JURONG WEST,7222
CLEANER,F,999,98623.0,4.0,SOUTHERN ISLANDS,2367
CLEANER,F,1646,348181.0,13.0,TOA PAYOH,2535
SERVICE,F,1193,164008.0,3.0,BUKIT MERAH,7229
CLERICAL,M,1849,119081.0,5.0,QUEENSTOWN,6852
CLERICAL,F,1961,268352.0,10.0,BUKIT TIMAH,231
CLEANER,M,1320,207225.0,8.0,KALLANG,7037
SERVICE,F,1202,328007.0,12.0,KALLANG,6516
CLEANER,M,1130,249034.0,10.0,TANGLIN,4415
SECURITY,F,1576,286958.0,11.0,BUKIT TIMAH,5143
CLEANER,M,1485,299938.0,11.0,NOVENA,4182
CLEANER,M,1419,643660.0,22.0,JURONG WEST,7097
CLEANER,M,1216,618725.0,22.0,JURONG WEST,7157
CLEANER,F,1270,680007.0,23.0,CHOA CHU KANG,5158
CLERICAL,F,2032,467112.0,16.0,BEDOK,6057
CRAFTS,M,1293,670629.0,23.0,BUKIT PANJANG,5694
PLANT AND MACHINE,M,1550,670626.0,23.0,BUKIT PANJANG,7778
SERVICE,M,1192,436894.0,15.0,KALLANG,5284
TECHNICIAN,M,1101,229401.0,9.0,NEWTON,2027
SERVICE,M,1223,18980.0,1.0,DOWNTOWN CORE,4636
CLERICAL,F,2326,537443.0,19.0,HOUGANG,6838
CLERICAL,F,1827,530358.0,19.0,HOUGANG,6135
PLANT AND MACHINE,M,877,278400.0,10.0,BUKIT TIMAH,6244
PLANT AND MACHINE,F,1396,131028.0,5.0,QUEENSTOWN,6373
SERVICE,F,1361,138686.0,5.0,QUEENSTOWN,5990
SERVICE,F,1059,239471.0,9.0,SINGAPORE RIVER,5574
SERVICE,M,1298,550547.0,19.0,SERANGOON,5767
TECHNICIAN,M,1337,98308.0,4.0,SOUTHERN ISLANDS,7396
TECHNICIAN,F,1065,670183.0,23.0,BUKIT PANJANG,4181
CLERICAL,F,2362,677670.0,23.0,BUKIT PANJANG,4668
TECHNICIAN,M,1488,158746.0,3.0,BUKIT MERAH,6494
SERVICE,M,1331,547128.0,19.0,HOUGANG,7407
SERVICE,M,1315,268201.0,10.0,BUKIT TIMAH,4336
PLANT AND MACHINE,F,1488,520928.0,18.0,TAMPINES,3045
SERVICE,F,1373,543186.0,19.0,SENGKANG,6440
CRAFTS,F,1193,530144.0,19.0,HOUGANG,7935
PLANT AND MACHINE,M,1492,439967.0,15.0,MARINE PARADE,4052
CLEANER,M,950,424183.0,15.0,BEDOK,907
CLERICAL,M,2116,439960.0,15.0,MARINE PARADE,6240
CLERICAL,F,2074,521123.0,18.0,TAMPINES,5687
TECHNICIAN,F,1053,469982.0,16.0,BEDOK,4577
CLEANER,M,1569,311141.0,12.0,TOA PAYOH,7787
CLEANER,F,1131,468469.0,16.0,BEDOK,306
SERVICE,F,1154,597322.0,21.0,CLEMENTI,7288
CRAFTS,F,1226,437934.0,15.0,MARINE PARADE,4679
PLANT AND MACHINE,F,1445,507085.0,17.0,PASIR RIS,4621
SERVICE,F,1333,98207.0,4.0,SOUTHERN ISLANDS,7078
PLANT AND MACHINE,M,1698,437995.0,15.0,MARINE PARADE,5295
TECHNICIAN,F,1448,98445.0,4.0,SOUTHERN ISLANDS,4232
SERVICE,F,1192,418414.0,14.0,BEDOK,5609
SERVICE,F,1410,279428.0,10.0,BUKIT TIMAH,1651
SECURITY,F,1859,142091.0,3.0,QUEENSTOWN,3559
SERVICE,M,1037,417454.0,14.0,BEDOK,719
CLEANER,F,1358,521496.0,18.0,TAMPINES,4503
PLANT AND MACHINE,M,1519,680756.0,23.0,CHOA CHU KANG,7688
PLANT AND MACHINE,F,1810,126827.0,5.0,CLEMENTI,7051
SERVICE,M,1251,470719.0,16.0,BEDOK,5997
CRAFTS,M,1290,437436.0,15.0,KALLANG,5049
SERVICE,F,1202,682817.0,23.0,CHOA CHU KANG,6980
SERVICE,M,1146,417109.0,14.0,BEDOK,4892
OTHER,M,1428,489144.0,16.0,BEDOK,4587
CLERICAL,F,1809,465895.0,16.0,BEDOK,4822
CLERICAL,F,1776,190466.0,7.0,KALLANG,4648
CLEANER,M,1206,522842.0,18.0,TAMPINES,4850
CLERICAL,F,1598,268906.0,10.0,BUKIT TIMAH,7922
SERVICE,F,1209,320015.0,12.0,KALLANG,5223
OTHER,M,1352,239471.0,9.0,SINGAPORE RIVER,6660
CLERICAL,M,2223,238275.0,9.0,SINGAPORE RIVER,6211
SERVICE,F,1362,238275.0,9.0,SINGAPORE RIVER,650
TECHNICIAN,M,1640,429101.0,15.0,BEDOK,7007
OTHER,M,1220,239228.0,9.0,RIVER VALLEY,6101
SERVICE,M,1171,540115.0,19.0,SENGKANG,5375
SECURITY,M,1634,560321.0,20.0,ANG MO KIO,4630
PLANT AND MACHINE,F,1669,543308.0,19.0,SENGKANG,2920
SERVICE,F,1049,320003.0,12.0,KALLANG,6138
PLANT AND MACHINE,M,1197,331039.0,12.0,KALLANG,4729
SERVICE,F,1295,573935.0,20.0,BISHAN,4516
OTHER,F,1586,659245.0,23.0,BUKIT BATOK,5805
SERVICE,M,1161,520735.0,18.0,TAMPINES,7532
CLEANER,F,1562,440003.0,15.0,MARINE PARADE,7334
PLANT AND MACHINE,F,1507,455287.0,15.0,BEDOK,7526
SERVICE,M,1180,548177.0,19.0,HOUGANG,5029
CLERICAL,M,2063,437434.0,15.0,KALLANG,8041
SERVICE,M,1259,587972.0,21.0,BUKIT PANJANG,4695
CLEANER,F,1478,299450.0,11.0,NOVENA,6457
SECURITY,M,1777,439204.0,15.0,GEYLANG,7260
SERVICE,F,1338,249616.0,10.0,TANGLIN,6586
SERVICE,F,1284,510626.0,18.0,PASIR RIS,6249
OTHER,M,1318,560419.0,20.0,ANG MO KIO,1187
SECURITY,F,1723,589545.0,21.0,BUKIT TIMAH,6506
OTHER,F,1175,249567.0,10.0,TANGLIN,7154
TECHNICIAN,F,1276,737811.0,25.0,WOODLANDS,4201
CRAFTS,F,1466,269258.0,10.0,BUKIT TIMAH,1724
PLANT AND MACHINE,F,709,130017.0,5.0,QUEENSTOWN,5382
CRAFTS,F,880,436917.0,15.0,KALLANG,7651
PLANT AND MACHINE,F,1307,424127.0,15.0,BEDOK,6125
PLANT AND MACHINE,M,1773,597320.0,21.0,CLEMENTI,5493
SERVICE,F,1057,597360.0,21.0,CLEMENTI,5818
CLEANER,F,815,98412.0,4.0,BUKIT MERAH,5430
CLEANER,F,1526,248450.0,10.0,TANGLIN,8056
SERVICE,F,1225,229628.0,9.0,NEWTON,4352
CLERICAL,F,2138,259822.0,10.0,TANGLIN,4593
SECURITY,F,1995,598748.0,21.0,BUKIT BATOK,6670
SECURITY,F,2138,460034.0,16.0,BEDOK,7172
SERVICE,M,1207,269198.0,10.0,BUKIT TIMAH,7092
OTHER,F,1420,560351.0,20.0,ANG MO KIO,7165
CLEANER,F,733,159960.0,3.0,QUEENSTOWN,1852
PLANT AND MACHINE,F,1540,556124.0,19.0,SERANGOON,5226
SERVICE,F,1399,470629.0,16.0,BEDOK,5710
OTHER,M,1259,520163.0,18.0,TAMPINES,6108
CLEANER,M,1271,821109.0,19.0,PUNGGOL,4946
CRAFTS,F,1189,823624.0,19.0,PUNGGOL,7784
CRAFTS,M,1331,822624.0,19.0,PUNGGOL,7038
CLERICAL,M,1772,760433.0,27.0,YISHUN,5917
SERVICE,F,1453,659246.0,23.0,BUKIT BATOK,4392
SERVICE,M,894,550122.0,19.0,SERANGOON,5090
CLEANER,F,1341,190462.0,7.0,KALLANG,6124
PLANT AND MACHINE,F,1001,460021.0,16.0,BEDOK,7266
SERVICE,M,1466,752508.0,27.0,SEMBAWANG,7177
CLEANER,F,1702,249979.0,10.0,TANGLIN,6225
CLERICAL,F,1263,469985.0,16.0,BEDOK,4551
CLERICAL,F,1794,258773.0,10.0,TANGLIN,3642
CLEANER,F,1551,268096.0,10.0,BUKIT TIMAH,6447
PLANT AND MACHINE,M,1521,269467.0,10.0,BUKIT TIMAH,6248
CLERICAL,F,1881,276219.0,10.0,BUKIT TIMAH,2506
PLANT AND MACHINE,F,1675,822289.0,19.0,PUNGGOL,7760
CLERICAL,F,1703,455283.0,15.0,BEDOK,1701
SERVICE,M,1026,530973.0,19.0,HOUGANG,7860
SERVICE,M,1168,229717.0,9.0,NEWTON,6650
SERVICE,F,1286,438791.0,15.0,MARINE PARADE,7036
SERVICE,F,1141,545075.0,19.0,SENGKANG,7523
SERVICE,M,1164,98411.0,4.0,BUKIT MERAH,5559
SERVICE,M,895,98411.0,4.0,BUKIT MERAH,5498
SERVICE,F,1135,238432.0,9.0,RIVER VALLEY,6043
SERVICE,F,1083,239194.0,9.0,RIVER VALLEY,2136
SERVICE,F,1311,229544.0,9.0,NEWTON,2820
CLERICAL,F,1530,269467.0,10.0,BUKIT TIMAH,7217
SERVICE,M,1128,576438.0,20.0,BISHAN,4432
SERVICE,F,1007,575331.0,20.0,BISHAN,4187
SERVICE,F,1525,297725.0,11.0,TOA PAYOH,5808
SERVICE,M,1048,436881.0,15.0,KALLANG,2412
PLANT AND MACHINE,F,1335,348180.0,13.0,TOA PAYOH,6446
CLERICAL,F,2360,550427.0,19.0,SERANGOON,6856
CLEANER,M,1384,550423.0,19.0,SERANGOON,7722
CLEANER,M,978,567744.0,20.0,ANG MO KIO,6874
SERVICE,M,888,588546.0,21.0,BUKIT TIMAH,5022
SERVICE,M,1143,109703.0,4.0,BUKIT MERAH,8052
SERVICE,M,1001,101103.0,4.0,BUKIT MERAH,6464
SERVICE,M,1194,791412.0,28.0,SENGKANG,4229
CLERICAL,M,1986,596712.0,21.0,BUKIT TIMAH,4143
SECURITY,F,1787,127717.0,5.0,CLEMENTI,6525
SERVICE,M,1045,289895.0,11.0,BUKIT TIMAH,7811
SERVICE,M,1423,288416.0,11.0,BUKIT TIMAH,726
SERVICE,F,1357,120708.0,5.0,CLEMENTI,5219
CLEANER,M,1167,424586.0,15.0,GEYLANG,5628
PLANT AND MACHINE,M,1474,276932.0,10.0,BUKIT TIMAH,7134
SERVICE,M,1303,238141.0,9.0,RIVER VALLEY,7289
PLANT AND MACHINE,M,1470,238359.0,9.0,RIVER VALLEY,5124
CLEANER,F,1256,238307.0,9.0,RIVER VALLEY,7564
OTHER,F,1430,672634.0,23.0,BUKIT PANJANG,7971
SERVICE,F,1446,120710.0,5.0,CLEMENTI,2317
SERVICE,M,985,109700.0,4.0,BUKIT MERAH,1698
SECURITY,F,2244,109705.0,4.0,BUKIT MERAH,7813
SECURITY,M,1685,398236.0,14.0,GEYLANG,2413
CLEANER,M,935,229667.0,9.0,NEWTON,6646
CLERICAL,F,1802,266525.0,10.0,BUKIT TIMAH,5670
CLEANER,M,1410,217912.0,8.0,KALLANG,4061
CRAFTS,M,1266,823302.0,19.0,PUNGGOL,7541
CLEANER,M,909,548190.0,19.0,HOUGANG,3814
CLERICAL,M,2037,577745.0,20.0,ANG MO KIO,3712
SERVICE,M,1314,138642.0,5.0,QUEENSTOWN,7474
CLERICAL,M,1892,560253.0,20.0,ANG MO KIO,4048
SECURITY,F,1934,399942.0,14.0,GEYLANG,5038
CLERICAL,M,1889,786702.0,26.0,ANG MO KIO,5379
CLEANER,F,1379,465010.0,16.0,BEDOK,7588
SERVICE,M,1355,228223.0,9.0,NEWTON,7017
SERVICE,F,948,547032.0,19.0,HOUGANG,4177
PLANT AND MACHINE,F,1310,547100.0,19.0,HOUGANG,1937
SERVICE,F,1270,439974.0,15.0,MARINE PARADE,6343
SERVICE,M,1338,169659.0,3.0,SINGAPORE RIVER,7961
OTHER,F,1046,579819.0,20.0,BISHAN,2042
SERVICE,F,1185,417609.0,14.0,BEDOK,5076
PLANT AND MACHINE,F,1482,449308.0,15.0,MARINE PARADE,7275
SERVICE,M,1326,463094.0,16.0,BEDOK,2622
OTHER,F,1214,460115.0,16.0,BEDOK,8009
PLANT AND MACHINE,F,2046,187950.0,7.0,ROCHOR,7086
SECURITY,M,1538,329111.0,12.0,NOVENA,4530
SERVICE,F,1295,806740.0,28.0,ANG MO KIO,5674
SERVICE,M,1235,239496.0,9.0,SINGAPORE RIVER,6208
CLERICAL,F,1354,459873.0,15.0,BEDOK,5183
SERVICE,M,1207,49712.0,1.0,DOWNTOWN CORE,4086
TECHNICIAN,M,1507,560466.0,20.0,ANG MO KIO,5368
PLANT AND MACHINE,F,1420,561455.0,20.0,ANG MO KIO,5273
CRAFTS,M,1104,328465.0,12.0,KALLANG,7796
PLANT AND MACHINE,F,1646,426570.0,15.0,GEYLANG,4878
SERVICE,F,1151,424587.0,15.0,GEYLANG,294
SERVICE,F,1257,268848.0,10.0,TANGLIN,6904
CLEANER,F,1386,118443.0,5.0,QUEENSTOWN,4364
PLANT AND MACHINE,F,1704,267936.0,10.0,BUKIT TIMAH,5954
SECURITY,M,2090,258869.0,10.0,TANGLIN,6083
CLEANER,F,1174,550328.0,19.0,SERANGOON,2508
PLANT AND MACHINE,F,1744,380120.0,14.0,GEYLANG,6722
SERVICE,F,1297,228084.0,9.0,ROCHOR,6640
PLANT AND MACHINE,M,1124,793469.0,28.0,SENGKANG,4738
CRAFTS,F,1212,425099.0,15.0,MARINE PARADE,2216
TECHNICIAN,F,1753,824102.0,19.0,PUNGGOL,6155
CLERICAL,F,1999,457332.0,15.0,BEDOK,7466
CLEANER,M,1344,768114.0,27.0,YISHUN,6790
SECURITY,M,1630,768106.0,27.0,YISHUN,4495
CLERICAL,M,1218,288904.0,11.0,BUKIT TIMAH,6526
SECURITY,F,2019,457402.0,15.0,BEDOK,5316
SERVICE,M,1308,546779.0,19.0,HOUGANG,3030
CLERICAL,F,1574,400035.0,14.0,GEYLANG,3439
PLANT AND MACHINE,F,1603,289851.0,11.0,BUKIT TIMAH,4868
OTHER,M,1553,550144.0,19.0,SERANGOON,4880
TECHNICIAN,M,2101,610181.0,22.0,JURONG WEST,7668
CLERICAL,F,1654,637664.0,22.0,WESTERN WATER CATCHMENT,4166
CLEANER,M,1009,248620.0,10.0,TANGLIN,2155
CLERICAL,F,1663,577930.0,20.0,BISHAN,6401
SERVICE,F,1227,169658.0,3.0,SINGAPORE RIVER,6835
SERVICE,F,1364,169658.0,3.0,SINGAPORE RIVER,5166
CLERICAL,F,1795,289073.0,11.0,BUKIT TIMAH,7557
SERVICE,M,1090,658074.0,23.0,BUKIT BATOK,4194
CLERICAL,F,2351,669599.0,23.0,BUKIT BATOK,6375
CRAFTS,F,1131,98209.0,4.0,SOUTHERN ISLANDS,7300
CLERICAL,M,2058,98329.0,4.0,SOUTHERN ISLANDS,4664
PLANT AND MACHINE,M,1466,669613.0,23.0,BUKIT BATOK,5787
SERVICE,M,1126,789611.0,26.0,ANG MO KIO,6104
SERVICE,F,1384,307762.0,11.0,NOVENA,5676
CLERICAL,F,2007,180264.0,7.0,ROCHOR,945
SERVICE,F,1338,429315.0,15.0,MARINE PARADE,5062
SECURITY,F,1556,249018.0,10.0,TANGLIN,4491
TECHNICIAN,F,1464,535547.0,19.0,HOUGANG,4730
SERVICE,M,1361,556510.0,19.0,SERANGOON,7738
CLEANER,F,1469,238107.0,9.0,RIVER VALLEY,6246
CLEANER,M,1240,554774.0,19.0,SERANGOON,6215
PLANT AND MACHINE,M,1707,249595.0,10.0,RIVER VALLEY,6484
CLERICAL,M,1664,158747.0,3.0,BUKIT MERAH,6667
SERVICE,F,1038,534203.0,19.0,HOUGANG,7427
SERVICE,M,1004,538576.0,19.0,SERANGOON,4169
PLANT AND MACHINE,F,1618,529866.0,18.0,TAMPINES,4592
SERVICE,M,987,239617.0,9.0,MUSEUM,6577
SERVICE,F,1050,128042.0,5.0,CLEMENTI,6753
SERVICE,F,1202,797703.0,28.0,HOUGANG,7321
SECURITY,F,2124,416348.0,14.0,BEDOK,6438
PLANT AND MACHINE,M,1094,470724.0,16.0,BEDOK,8021
CLERICAL,F,1756,249566.0,10.0,TANGLIN,7035
SECURITY,M,1665,560714.0,20.0,ANG MO KIO,4921
CLERICAL,F,1796,358268.0,13.0,SERANGOON,6020
PLANT AND MACHINE,F,1709,575335.0,20.0,BISHAN,7644
CLEANER,M,1024,536565.0,19.0,SERANGOON,7060
SECURITY,F,2092,436918.0,15.0,KALLANG,168
CLEANER,M,1145,436894.0,15.0,KALLANG,4544
SERVICE,F,1233,449306.0,15.0,MARINE PARADE,4428
CLEANER,M,1240,329426.0,12.0,NOVENA,4343
OTHER,F,1200,127726.0,5.0,CLEMENTI,1593
SERVICE,M,1551,297778.0,11.0,NOVENA,5017
TECHNICIAN,F,1454,520868.0,18.0,TAMPINES,5994
OTHER,F,1580,598736.0,21.0,BUKIT BATOK,4275
SERVICE,M,1138,357776.0,13.0,TOA PAYOH,4512
SERVICE,M,1335,679044.0,23.0,BUKIT PANJANG,4536
CLERICAL,F,1362,768309.0,27.0,YISHUN,5443
SERVICE,F,1226,768075.0,27.0,YISHUN,6170
PLANT AND MACHINE,F,1312,486437.0,16.0,BEDOK,4665
SECURITY,M,1700,640903.0,22.0,JURONG WEST,4834
OTHER,M,1372,531980.0,19.0,HOUGANG,4793
TECHNICIAN,F,1464,309311.0,11.0,NOVENA,6906
CLERICAL,M,1999,247711.0,10.0,TANGLIN,4829
CLERICAL,F,1634,259396.0,10.0,NEWTON,4810
SERVICE,M,1220,521897.0,18.0,TAMPINES,6197
PLANT AND MACHINE,F,1194,400015.0,14.0,GEYLANG,4137
CLERICAL,F,2398,520712.0,18.0,TAMPINES,4622
SERVICE,F,1344,310144.0,12.0,TOA PAYOH,5682
CLERICAL,M,1759,229768.0,9.0,NEWTON,7849
SERVICE,F,1063,596229.0,21.0,BUKIT BATOK,6562
SECURITY,M,1782,424163.0,15.0,BEDOK,7624
SERVICE,F,1341,127363.0,5.0,CLEMENTI,5040
SERVICE,M,950,126837.0,5.0,CLEMENTI,5439
SECURITY,M,1679,127716.0,5.0,CLEMENTI,6109
SERVICE,M,1198,80019.0,2.0,BUKIT MERAH,5794
PLANT AND MACHINE,F,1667,229628.0,9.0,NEWTON,7720
CLERICAL,M,1729,436894.0,15.0,KALLANG,5190
CLEANER,F,1176,439888.0,15.0,MARINE PARADE,7747
